"filename", "language", "JSON", "Docker", "Markdown", "YAML", "Properties", "TypeScript", "JSON with Comments", "comment", "blank", "total"
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\common\utils\exception.util.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 1, 4, 22
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\common\utils\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\common\utils\typedataretorn.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\db\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\db\migrations\migration.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 4, 4, 17
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\db\orm.config.ts", "TypeScript", 0, 0, 0, 0, 0, 50, 0, 0, 2, 52
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\db\restart-bd.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 5, 8, 35
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\entities\afectaciones-mazorca.entity.ts", "TypeScript", 0, 0, 0, 0, 0, 36, 0, 1, 8, 45
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\entities\analisis-suelo.entity.ts", "TypeScript", 0, 0, 0, 0, 0, 38, 0, 1, 9, 48
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\entities\asignacion-productorTecnico.entity.ts", "TypeScript", 0, 0, 0, 0, 0, 43, 0, 1, 10, 54
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\entities\cultivo.entity.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 1, 6, 38
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\entities\detalle-analisis.entity.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 1, 6, 33
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\entities\detalle-estimacion.entity.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 1, 5, 34
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\entities\estimacion-cosecha.entity.ts", "TypeScript", 0, 0, 0, 0, 0, 36, 0, 1, 7, 44
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\entities\index.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 14, 29
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\entities\mazorca.entity.ts", "TypeScript", 0, 0, 0, 0, 0, 38, 0, 1, 8, 47
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\entities\parcela.entity.ts", "TypeScript", 0, 0, 0, 0, 0, 51, 0, 1, 14, 66
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\entities\planta.entity.ts", "TypeScript", 0, 0, 0, 0, 0, 53, 0, 1, 12, 66
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\entities\productor.ts", "TypeScript", 0, 0, 0, 0, 0, 41, 0, 1, 11, 53
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\entities\propiedad-suelo.entity.ts", "TypeScript", 0, 0, 0, 0, 0, 30, 0, 1, 6, 37
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\entities\tipo_parcela-entity.ts", "TypeScript", 0, 0, 0, 0, 0, 27, 0, 1, 5, 33
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\entities\user.entity.ts", "TypeScript", 0, 0, 0, 0, 0, 38, 0, 0, 11, 49
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\helpers\asignacion.helper.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 2, 5, 28
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\helpers\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\helpers\validations.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\interfaces\afectaciones-mazorca.interface.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\interfaces\analisis-suelo.interface.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\interfaces\asignacionTP.interface.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\interfaces\cultivo.interface.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
